,URL,title,subtitle,content,article time
0,https://www.moneycontrol.com/news/business/markets/max-financial-says-promoter-entity-sold-3-2-equity-stake-for-rs-1218-crore-in-large-trade-12816230.html,"Max Financial says promoter entity sold 3.2% equity stake for Rs 1,218 crore in large trade","Max Financial share price marginally rose on 6 September, after a nearly 1.5 percent fall on the previous day..Related stories.","Max Financial ServicesŌĆÖ promoter entity sold almost half its equity shareholding in the company in a large trade on 5 September, according to a clarification filed with the stock exchanges. Promoter entity Max Venture Investment Holdings Pvt Ltd sold a 3.2 percent equity stake inMax Financial Services, amounting to over Rs 1,218 crore, showed the exchange filing. ŌĆ£The promoter group (Max Venture) had monetised 1.1 crore shares of the company (Max Financial) at the stock exchanges on September 5, 2024, to pay off their debts,ŌĆØ Max Financial said. With this transaction, the promoter entity has cleared all its debts, completely removing the pledge of shares, the filing said further. ŌĆ£The pledge of shares held by the promoter in the target company will be NilŌĆØ is said. Following the sale, the promoter entity is left with 3.22 stake in Max Financial, holding nearly 1.11 crore shares. Max Financial share price marginally rose on 6 September, after a nearly 1.5 percent fall on the previous day. The stock was trading at Rs 1,119.5 in the afternoon, up 0.2 percent from the previous close. Earlier yesterday, large deals worth Rs 1,637 crore shares were reported in Max Financial Services shares. Around 1.5 crore shares, making up a 4.3 percent stake in the non-bank finance lender changed hands in the large deal, it was reported. ","September 06, 2024/ 15:14 IST"
1,https://www.moneycontrol.com/news/business/markets/godfrey-phillips-to-consider-12-bonus-issue-this-month-it-says-ahead-of-agm-shares-rise-3-12816170.html,"Ahead of Friday AGM, Godfrey Phillips says board to consider 1:2 bonus issue; shares zoom to all-time high",Godfrey Phillips is likely to consider a bonus issue to the shareholders in the upcoming board meeting..Related stories.,"Godfrey Phillipsis likely to consider a bonus issue to the shareholders in the upcoming board meeting. The announcement was made in an exchange filing before the cigarette maker's 87th annual general meeting (AGM) on September 6, Friday. A meeting of the board of directors is scheduled to be held on Friday, 20th September 2024 to consider and recommend 1:2 bonus issue, the company said in a regulatory filing today. A 1:2 bonus issue means the shareholders will get two free shares for each held, if it is approved by the board. The company's board would consider and recommend to shareholders, for their approval, the issue of bonus shares by capitalization of reserves. ""...issue of bonus shares in the ratio of 2:1 i.e. 2 (Two) new fully paid-up Equity Shares of Rs. 2/- each for every 1 (One) existing fully paid-up Equity Share of Rs. 2/- each, to the Equity Shareholders of the Company by capitalization of reserves,"" the company said. Godfrey Phillips share price hit the new all-time high on 6 September trade to Rs 7095 per share on the NSE, rising 10.65 percent from its previous close. The stock has been gaining for the last two days and has risen 10.15 percent in the period. About 10 lakh shares changed hands today of Godfrey Phillips generating a total turnover of Rs 665.83 crore on the NSE. The large cap company has a market cap of Rs 37,591.60 crore, as per NSE website. ","September 06, 2024/ 15:27 IST"
2,https://www.moneycontrol.com/news/business/markets/nifty-psu-bank-index-fall-3-as-sbi-canara-bank-among-biggest-losers-12816087.html,"Nifty PSU Bank index fall 3% as SBI, Canara Bank among biggest losers",Morgan Stanley suggested investors shift to large private banks over state-owned banks..Related stories.,"Shares of public-sector banks remained under pressure as the Nifty PSU Bank index declinedÂ almost three percent in trade on September 6. The index was the worst-performing sector, extending its total fall to around 4 percent over the pastÂ month. SBI, Canara Bank, Indian Bank, and Indian Overseas Bank were some of the worst hit lenders, falling up to 4.5 percent on the NSE.Â Â Given the index's 2.8 percent fall so far, over Rs 40,000 crore in value has been erased in trade today. September seasonality could be a factor at play, asÂNifty PSU Bankhas given investors negative returns eightÂ out of 13 years in September. Follow our live blog to catch all the updates In a recent note, Morgan Stanley issued a series of updates on Indian banks, suggesting investors to shift to large private banks over state-owned banks. The brokerage emphasised it was 'time to get selective', as the strength of banks' franchises will drive divergence in profitability. For public sector banks, analysts at Morgan Stanley have taken a cautious stance as State Bank of India (SBI) and Bank of Baroda have been maintained at 'Equal-Weight,' with their target prices reduced to Rs 800 per share and Rs 265 per share, respectively. Morgan Stanley believes large private sector banks are better positioned to navigate the current cycle and are likely to see higher relative valuations. They highlight a significant trade-off between growth and profitability at state-owned banks. ","September 06, 2024/ 13:43 IST"
3,https://www.moneycontrol.com/news/business/markets/marico-shares-gain-4-5-on-heavy-volumes-despite-sour-market-sentiment-12816124.html,Marico shares gain 4.5% on heavy volumes despite sour market sentiment,"Over the past year, Marico shares have underperformed the benchmark Nifty 50 index, rising around 13 percent..Related stories.","FMCG giant Marico stood out in a muted market, rising over 4.5 percent in trade on heavy volumes.Â Over 57 lakh shares exchanged hands in trade on the bourses today, more than double compared to the one-month daily traded average of 23 lakh shares. At 1.50 pm,Marico's stock price quoted Rs 668.75 on the NSE, higher by 3.9 percent compared to the previous session's closing price. Follow our live blog to catch all the market updates ""Marico now has strong support at Rs 628 on the daily charts. A daily close above resistance level of Rs 665 could lead to targets of Rs 691-727 in the near term,"" saidÂ A R Ramachandran, Independent Research Analyst. Consumer staples firms face risks with traditional distribution advantages beginning to erode, and the likes of Marico and Hindustan Unilever may face challenges, a CLSA note said. The brokerageÂ reiterated its 'Underperform' on both the FMCG giants, with target prices at Rs 470 per share for Marico and Rs 2,161 apiece for HUL, respectively. The stock is trading above all its key moving averages, indicating a bullish momentum.Â Marico's promoters hold around 59 percent of its shares, while FIIs hold around 24.6 percent. The public holds around 4.7 percent in Marico. Over the past year, Marico shares have underperformed the benchmark Nifty 50 index, rising around 13 percent as compared to the index's jump of 30 percent during the same time period. ","September 06, 2024/ 14:27 IST"
4,https://www.moneycontrol.com/news/business/markets/pharma-healthcare-stocks-rise-as-defensive-plays-shine-amid-market-volatility-12816136.html,"Pharma, Healthcare stocks rise as defensive plays shine amid market volatility","Concord Biotech, Eris Lifesciences, Glenmark Life Sciences, Neuland Laboratories, Piramal Pharma, Suven Pharma, RPG Life Sciences were among the stocks that hit 52-week high intraday..Related stories.","Gains in pharmaceutical and healthcare stocks such as Glenmark Lifesciences, Suven Pharma, others helped contain broader market losses on September 6 as investors showed buying interest in the defensive sector amid heightened market volatility. The pharmaceutical industry has seen an upswing in 2024 with the Nifty Pharma Index gaining 36 percent year-to-date, compared to 14 percent gains in benchmark Nifty 50. The pharma industry, known for its defensive nature, is gaining increased investor interest as a preferred diversification option. This growing attention from the broader investor community is further fueling the sector's rally. Midcap companies are leading the gains within the sector, driven by a surge in corporate announcements. Many of the recent approvals for drugs by the US FDA or other regulatory bodies, as well as new market entries, are coming from mid and small-sized firms. Follow our market blog to catch all the live action Domestic brokerage Prabhudas Lilladher expects a shift towards defensive sectors such as pharmaceuticals, consumer goods, durables, building materials, IT services and telecom. ""While sectors like capital goods, infrastructure, logistics/ports, EMS, hospitals, tourism, auto, new energy, and e-commerce present attractive opportunities, investors should remain mindful of their valuations,"" it said. Nifty is expected to consolidate at a higher zone with intermittent volatility as key US economic data are lined up this week. ""Defensive sectors like FMCG & Pharma are likely to remain in focus,"" said Siddharth Khemka, Head - Research, Wealth Management, Motilal Oswal Financial Services. Concord Biotech, Eris Lifesciences, Glenmark Life Sciences, Neuland Laboratories, Piramal Pharma, Suven Pharma, RPG Life Sciences were among the stocks that hit 52-week high intraday. ","September 06, 2024/ 13:36 IST"
5,https://www.moneycontrol.com/news/business/markets/omc-fuel-price-cut-speculation-12816143.html,OMC shares hit day's low on speculation of a fuel price cut,"Shares of IOCL, HPCL, and BPCL fell on September 6 after having risen for the past two sessions..Related stories.","Shares of oil marketing companies (OMCs)Indian OilÂ Corp,Hindustan Petroleum Corp, andBharat Petroleum CorpÂ fellÂ over 2 percent to trade near day's lows on September 6, after a new report said cited sources that the government may consider reducing fuel prices, givenÂ the recentÂ fallÂ global crude oil prices. Moneycontrolhas not been able to independently verify the development. Government is considering cutting prices of petrol and diesel, according toIndia Today TV, which cited unnamed sources. Following the report, shares of IOC, HPCL and BPCL fell, after having risen for the past two sessions. International crude oil prices have fallen to their lowest level in nine months, in a likely boost to the profit margins for OMCs. Follow our live blog for all the market action ""With Assembly elections in Maharashtra and Haryana approaching, the government sees this as an opportunity to offer relief to the public. Ongoing inter-ministerial talks are focused on how to best utilise the drop in global oil prices to benefit consumers, while also considering the financial health of OMCs,"" theÂIndia TodayÂ report said. On September 4, a sharp decline sent Brent crude to $72/bbl, a positive for oil marketing companies that are hopeful of inventory gains by re-stocking at lower prices. Also Read |ÂOPEC+ delays oil output hike kicking the can down a very uphill road Pressure on Brent prices is stemming from concerns of a demand slowdown in ChinaÂ - world's largest importer of crude oil - as well as a rising adoption of electric vehicles. The prospect of resolution of theÂ dispute that stalled Libyan crude production too adds pressure, on worries over excess supply. Expectations of higher OPEC+ production starting in October too haveÂ contributed to the downward pressure on crude oil. Earlier in March, ahead of general elections, the government had reduced petrol and diesel prices by Rs 2 per litre. ","September 06, 2024/ 15:28 IST"
6,https://www.moneycontrol.com/news/business/markets/wockhardt-stock-falls-3-as-congress-accuses-madhabi-puri-buch-of-conflict-of-interest-12816158.html,Wockhardt stock falls 5% as Congress accuses SEBI chief Buch of corruption,Wockhardt stock falls 3% as Congress accuses Madhabi Puri Buch of conflict of interest.Related stories.,"Shares of Wockhardt Ltd fell over 5 percent on September 6 after Congress accused Securities and Exchange Board of India (SEBI) chairperson Madhabi Puri Buch of conflict of interest with the drug firm. CongressallegedBuch received rental income from an entity affiliated with a Mumbai company that the market regulator was investigating for various cases, including that of insider trading. ""Madhabi Puri Buch had become a Whole Time Member of SEBI in 2018. Now, after becoming a whole time member, she gave one of her properties on rent. In the financial year 2018-19, she got a rent of Rs 7 lakh. She received rent of Rs 36 lakh for the same property in 2019-20, which increased to Rs 46 lakh by this year. ""The name of the company to which Madhabi Puri Buch gave her property is Carol Info Services Limited, which is a part of Wockhardt Company.Wockhardtis the same company, complaints related to which SEBI is continuously dealing with,"" said Khera. ""Wockhardt is a company on which SEBI is continuously giving orders and dealing with its cases. Madhabi Puri Buch is the chairperson of the same organisation (SEBI) which has complaints against Wockhardt before it. There was a case of insider trading too, her organisation (SEBI) dealt with insider trading case of Wockhardt too. This is a conflict of interest, I would call it corruption. This is not just conflict of interest, this is out and out corruption,"" Khera added at a press conference in New Delhi.LIVE: Congress party briefing by Shri@Pawankheraat AICC HQ.https://t.co/OHesoii9kACongress (@INCIndia)September 6, 2024 At┬Ā2:20 pm on September 6, following the press conference by Khera, Wockhardt shares were trading 5 percent lower at Rs 1,034.55 apiece. ""She has so far received more than Rs 2.16 crore as rent from that company. Is this ethically and legally correct?"" asked Khera. Congress leader Jairam Ramesh said on X platform (formerly Twitter), ""How much more evidence is needed to show the collapse of transparency and integrity, as far as the regulator of capital market is concerned? By the NSE's data there are now 10 crore Indians with unique PANs who have some form of investment in this market. Don't they deserve better? Why does he not move? What is he afraid of?"" Earlier this week, ICICI Bank said it has not paid any salary or granted ESOPs to Sebi chairperson Madhabi Puri Buch after her retirement on October 31, 2013, as alleged by the Congress. Congress alleged that Buch, who joined Sebi as a member in 2017 and subsequently became its chairperson, received Rs 16.8 crore from ICICI Bank as salary and other compensation. ŌĆ£ICICI Bank or its group companies have not paid any salary or granted any ESOPs to Madhabi Puri Buch after her retirement, other than her retiral benefits. It may be noted that she had opted for superannuation with effect from October 31, 2013,ŌĆØ the bank said in a statement. During her employment with the ICICI Group, she received compensation in the form of salary, retiral benefits, bonus and ESOPs, in line with applicable policies, it added. ŌĆ£Under the bankŌĆÖs ESOP rules, the ESOPs vest over the next few years from the date of allotment. As per rules existing at the time of her ESOP grant, employees, including retired employees, had the choice to exercise their ESOPs anytime up to a period of 10 years from the date of vesting,ŌĆØ it said. ","September 06, 2024/ 15:30 IST"
7,https://www.moneycontrol.com/news/business/markets/markets-fall-to-days-low-amid-sluggish-trend-sensex-nifty-drop-over-1-each-12816189.html,"Sensex, Nifty fall over 1% as banks, energy stocks drag; investors eye US jobs report","A weak trend in global peers the highly anticipated US job report due to be released later in the day, kept investors cautious..Related stories.","Sensex and Nifty closed over a percent lower on September 6, weighed down by banking, energy, and IT stocks. A weak trend in global peers the highly anticipated US job report due to be released later in the day, kept investors cautious. The USÂ jobs data is expected to provide key insights into the Federal Reserve's upcoming policy decisions. At close, the Sensex was down 1,017 points or 1.2 percent at 81,183 and the Nifty was down 292 points at 24,852. About 1,359 shares advanced, 2,422 shares declined, and 86 shares were unchanged. Nifty 50 fell 1.5 percent this week, marking its worst performance in three months. ""The recent weakness in US markets has stalled the momentum in Indian markets, causing participants to become cautious ahead of the upcoming jobs data,"" saidÂ Ajit Mishra, SVP, Research at Religare Broking. Follow our live blog for all the market action A factor that could be worsening the sell-off is news that the market regulator will tighten derivative rules to increase entry barriers, making it expensive to trade, in an attempt to limit retail investors speculating on risky contracts. SEBI will limit the number of options contract expiries to one per exchange a week and nearly triple the minimum trading amount, four sources with direct knowledge of the matter toldMoneycontrol. The Nifty PSU Bank index emerged as the hardest-hit among sectoral indices, falling 3.6 percent, with SBI leading the decline.SBIfell 4.4 percent becoming the worst-hit stock on Nifty 50 after Goldman downgraded the stock to 'Sell' and cut its target price to Rs 742 from Rs 841.ÂBPCL,ICICI Bank,ÂNTPC, and HCL Tech were some of the other losers on Nifty 50. Also Read |ÂVodafone Idea drops 13%, Indus Towers falls 6% after Goldman Sachs flags concerns In a recent report, Morgan Stanley reviewed domestic IT players and concluded that it's not time for investors to reduce their IT holdings or shift from their 'overweight' stance on IT stocks. The brokerage expects an uptick in BFSI spending to sustain strong growth through FY26. Even this could not the IT index from falling by nearly a percent and dragging Nifty down. The brokerageÂ downgradedHCLTechto 'equal-weight' causing the stock to fall nearly 2 percent. Shares of oil marketing companies (OMCs) - IOCL, HPCL, and BPCL fell 2-3 percent after a news report said citing sources that the government may consider reducing fuel prices, given the recent fall global crude oil prices. The broader market was not spared from the sell-off. The BSE Midcap dropped 1.4 percent and the Smallcap index fell by nearly 1 percent. Meanwhile, India VIX, a key indicator of market volatility, surged 6.5 percent and crossed 15 points. On a positive note, shares ofAsian Paints,Bajaj Finance,ÂJSW Steel,Divis Labs, andLTIMindtreerose 0.3-1 percent, emerging as some of the top gainers on the Nifty 50 index. ","September 06, 2024/ 16:18 IST"
8,https://www.moneycontrol.com/news/business/markets/bulk-deals-derive-trading-resorts-sells-0-81-stake-in-vst-industries-12816465.html,Bulk deals : Derive Trading & Resorts sells 0.81% stake in VST Industries,representative image.Related stories.,"Derive Trading & Resorts Private Limited sold 1.29 lakh shares or a 0.81 percent stake in VST Industries for an average price of Rs 480.57 via a bulk deal on September 6. And SBI Mutual Fund sold 4.47 lakh shares or a 2.89 percent stake in VST Industries for an average price of Rs 485.35. Morgan Stanley Asia (Singapore) Pte bought 3.08 lakh shares in Indigo Paint for an average price of Rs 1491.88. While HDFC Mutual Fund bought 10.03 lakh shares in Indigo Paints for an average price of Rs 1470. Mercer QIF Fund PLC-Mercer Investments bought 3.19 lakh shares in Indigo Paints for an average price of Rs 1475.51. On the sellers side, Peak XV Partners Investments IV sold 50.51 lakh shares in Indigo Paints for an average price of Rs 1475.96. Kotak Mahindra Mutual Fund bought 39.74 lakh shares in Metro Brands for an average price of Rs 1260. DSP Mutual Fund bought 4.41 lakh shares or a 1 percent stake in Shriram Pistons & Rings for an average price of Rs 2197.60. While Theleme Master Fund bought a 1.1 percent stake in the company. Aviator Global Investment Fund sold 4.7 lakh shares or a 1.01 percent stake in Hinduja Global Solutions for an average price of Rs 881.90. India Discovery Fund Limited sold a 2.85 percent stake in Forbes Company, while Antara India Evergreen Fund bought a 1.38 percent stake in the company. Block dealsÂ Kotak Mahindra Mutual Fund bought 53.23 lakh shares, Invesco Mutual Fund bought 4.67 lakh, Citigroup Global Markets Mauritius Private bought 0.8 lakh shares, and Baroda BAS Mutual Fund bought 0.8 lakh shares in Metro Brands. On the sellers side, Promoter group entities, Farah Malik Bhanji, Aisha Farook Malik,Â Zia Malik Laji, Zarah Rafiqque Malik, and Sabina Malik Hadi each sold 11.9 lakh shares in Metro Brands. Astral Indian Equities Fund I bought 2.19 lakh shares in Shriram Pistons & Rings. Tata Mutual Fund bought 4.41 lakh shares in Shriram Pistons & Rings. East Lane Capital LLP bought 1.29 lakh shares in Shriram Pistons & Rings. Theleme India Master Fund bought 4.84 lakh shares in Shriram Pistons & Rings. Aviator Global Investment Fund bought 4.70 lakh shares in Hinduja Global Solutions.Â Allstars Investments bought 4.7 lakh shares in Hinduja Global Solutions. ","September 06, 2024/ 23:15 IST"
9,https://www.moneycontrol.com/news/business/markets/nvidias-406-billion-drop-this-week-makes-bitcoin-look-calm-12816489.html,NvidiaŌĆÖs $406 billion drop this week makes Bitcoin look calm,"Nvidia shares have swung between $90.69 and $131.26 over the past 30 trading days, with a record amount of market value being wiped out Tuesday. That level of gyration drove its 30-day realized volatility up to about 80 ŌĆö roughly four times the level of Microsoft Corp., double BitcoinŌĆÖs figure and higher than meme stocks like Donald TrumpŌĆÖs media company and Elon MuskŌĆÖs Tesla Inc..Related stories.","Nvidia Corp. wiped out about $406 billion in value this week, weighing on key equity benchmarks as jitters spread over the health of the US economy and an AI trade that may have gotten ahead of itself. The worldŌĆÖs largest artificial-intelligence chipmaker shed a fifth of its value over the past two weeks. The declines also showcase a more pressing issue for investors in the $2.5 trillion giant: Its volatility now dwarfs its Magnificent Seven peers and makes Bitcoin look like a port of calm. Nvidia shares have swung between $90.69 and $131.26 over the past 30 trading days, with a record amount of market value being wiped out Tuesday. That level of gyration drove its 30-day realized volatility up to about 80 ŌĆö roughly four times the level of Microsoft Corp., double BitcoinŌĆÖs figure and higher than meme stocks like Donald TrumpŌĆÖs media company and Elon MuskŌĆÖs Tesla Inc.  The stumble has pushed the stock to its worst two-week stretch in two years, data compiled by Bloomberg show. The declines came after a tepid forecast and issues for its Blackwell chip, which dented investor euphoria. Then came news that the US Justice Department sent subpoenas in an escalating antitrust probe. Adding to the gloom for chipmakers broadly, Broadcom Inc. released a disappointing sales forecast. ŌĆ£YouŌĆÖre just in a very difficult market environment right this second,ŌĆØ said Rhys Williams, chief strategist at Wayve Capital Management LLC, adding that the AI trade is still in its early days. Still, ŌĆ£on a day-to-day basis, where the bottom is, is anybodyŌĆÖs guess.ŌĆØ Rewarding Year Of course, the stock has rewarded investors handsomely this year, even with the recent slide. The shares are still up more than 100% this year, adding $1.3 trillion in market value. And Wall Street roundly expects that Nvidia remains well positioned as companies build out infrastructure related to AI, a process thatŌĆÖs expected to last for several more quarters at least. NvidiaŌĆÖs biggest customers ŌĆö notably Microsoft Corp., Meta Platforms Inc., Alphabet Inc., and Amazon.com Inc., which together comprise more than 40% of NvidiaŌĆÖs revenue, data compiled by Bloomberg show ŌĆö affirmed their spending plans in their most recent quarters. NvidiaŌĆÖs results last week confirmed this rosy view. Revenue more than doubled and came in better than expected, as did adjusted earnings. The company also gave a revenue forecast that beat the analyst consensus, though it failed to meet the high end of estimates.  That result underwhelmed market participants who had grown accustomed to blowout reports. It also fed into concerns for those who are skeptical about the long-term outlook for spending on AI. It all means that as investors digest the evolution of the AI theme, the volatility in shares of Nvidia and other chipmakers will likely persist. For money managers who want to get in for the long haul, that could spell opportunity. ŌĆ£For a long-term investor, this is a good time to start picking away,ŌĆØ said Williams at Wayve Capital. ŌĆ£If somebody handed me new money today, I would be enthusiastically adding some AI-related stocks.ŌĆØ ","September 07, 2024/ 06:58 IST"
