,URL,Article url,title,subtitle,content,article datetime,article date,article time
0,moneycontrol.com,https://www.moneycontrol.com/technology/google-loses-final-eu-court-appeal-against-2-4-billion-euro-fine-in-antitrust-shopping-case-article-12818645.html,Google loses final EU court appeal against 2.4 billion euro fine in antitrust shopping case,Google is facing particular pressure over its digital advertising business..,"Google lost its final legal challenge on Tuesday against a European Union penalty for giving its own shopping recommendations an illegal advantage over rivals in search results, ending a long-running antitrust case that came with a whopping fine. The European Unionâ€™s Court of Justice upheld a lower courtâ€™s decision, dismissing the companyâ€™s appeal against the 2.4 billion euro ($2.7 billion) penalty from the European Commission, the 27-nation blocâ€™s top antitrust enforcer. The commission's original decision in 2017 accused the Silicon Valley giant of unfairly directing visitors to its own Google Shopping service to the detriment of competitors. It was one of three multibillion-euro fines that the commission imposed on Google in the previous decade as Brussels started ramping up its crackdown on the tech industry. Google made changes to comply with the commissionâ€™s decision requiring it to treat competitors equally. The company started holding auctions for shopping search listings that it would bid for alongside other comparison shopping services. At the same time, the company appealed the decision to the courts. But the EU General Court, the tribunal's lower section, rejected its challenge in 2021 and the Court of Justiceâ€™s adviser later recommended rejecting the appeal. Google is also appealing the other two EU antitrust penalties involving its Android mobile operating system and AdSense advertising platform. The company was dealt a setback in the Android case when the EU General Court upheld the commission's 4.125 billion euro fine in a 2022 decision. Its initial appeal against a 1.49 billion euro fine in the AdSense case has yet to be decided. Those three cases foreshadowed expanded efforts by regulators worldwide to crack down on the tech industry. The EU has since opened more investigations into Big Tech companies and drafted new laws to clean up social media platforms and regulate artificial intelligence. Google is facing particular pressure over its digital advertising business. In a federal antitrust trial set to begin Monday, the U.S. Department of Justice alleges the company holds a monopoly in the â€śad techâ€ť industry. British competition regulators accused Google last week of abusing its dominance in â€śad techâ€ť while the EU is carrying out its own investigation. ",2024-09-10 14:24,2024-09-10,14:24
1,moneycontrol.com,https://www.moneycontrol.com/news/india/lpg-cylinder-70kg-cement-blocks-on-tracks-rise-in-train-derailment-bids-triggers-alarm-bells-12818547.html,"LPG cylinder, 70kg cement blocks on tracks: Rise in train 'derailment' bids triggers alarm bells",Major train accident averted in Kanpur.Related stories.,"Cement blocks, gas cylinders, tyre rims and huge pebbles - since January, there have been over 15 instances when locopilots detected presence of these potential hazards on tracks. Spotting them in time and applying emergency brakes have saved hundreds of lives and┬Āaverted┬Ācatastrophic destructions, but the rise in such incidents have become of a cause of serious concern. Only 10 days ago, Farhatullah Ghori, the mastermind of the 2002 Akshardham temple attack and Bengaluru's Rameshwaram Cafe blast, sent a message to terror sleeper cells in India to carry out attacks on trains, petroleum pipelines and Hindu leaders. In the wake of Ghori's call, the threat has become more serious. ""The recent railway accidents have been termed ŌĆśserious in natureŌĆÖ but there is no visible terror angle in recent derailments,"" CNN-News18 quoted its sources from Indian Railways. ŌĆ£Threat to the railways is the biggest but we have managed successfully. After the Farhatullah Ghori threat, we are reporting all incidents of railway accidents and sabotage,ŌĆØ the sources said. Attempts to derail trains point to criminal intent of miscreants, railway ministry officials were quoted in a TOI report. However, no possible terror angle has been established so far. The Railways have seen 7% rise in accidents in the last one year but they are mostly attributed to ""deliberate attempts by people to have fun"". However, four visible cases came into picture where a possible terror angle was involved out of 126 cases, the report said. In the last one week only,┬Āthree┬Āattempts to derail trains and two instances of stone pelting on trains have been recorded: OnSeptember 10, a goods train hit two cement blocks - weighing around 70 kg each - on tracks of the Western Dedicated Freight Corridor in the Ajmer district of Rajasthan by putting. OnSeptember 8, Bhiwani-Prayagraj Kalindi Express hit a cooking cylinder kept on the tracks in Kanpur but there was no serious damage as the pilot applied emergency brakes. OnSeptember 5, a major accident was averted as pilot applied brakes in time near Kurduwadi station in Solapur when a fouling mark slab was deliberately placed on the tracks near a signal point. OnAugust 23, Sabarmati-Jodhpur Vande Bharat hit a stone placed on track. Three days before that, a goods train collided with a motorbike rim on the Dedicated Freight Corridor. OnAugust 18, a passenger train hit half a dozen iron rods placed on tracks in Jabalpur. ",2024-09-10 13:30,2024-09-10,13:30
2,moneycontrol.com,https://www.moneycontrol.com/news/india/gst-council-meeting-heres-what-will-get-cheaper-12818363.html,GST council meeting: Here's what will get cheaper,The 54th GST Council met under the chairpersonship of Union Minister for Finance Nirmala Sitharaman in New Delhi.Related stories.,"The GST Council on Monday announced tax cuts on several items and services, such as cancer drugs and helicopter travel. After the conclusion of the 54th GST council meeting on Monday, Union finance minister Nirmala Sitharaman said that the reduced rates will apply prospectively. Here's what got cheaper: Cancer drugs:Rate on cancer drugs namely, Trastuzumab Deruxtecan, Osimertinib and Durvalumab has been reduced from 12 to 5 per cent. Namkeens and savoury food products:The Goods and Services Tax (GST) rate on namkeen and savoury food products will be reduced from 18 to 12 per cent. The rate of 5 per cent will continue on unfried or uncooked snack pellets. According to a report by Economic Times, industry experts praised the move. ""With the increasing burden of chronic diseases in India, this is a move toward making life-saving drugs accessible and improving health outcomes,"" Sudarshan Jain, secretary general of the Indian Pharmaceutical Alliance, told ET. Helicopter travel:The GST Council decided to cut taxes on helicopter services for religious travel to 5 per cent. â€śHelicopter services for religious purposes like Kedarnath, Badrinath have been reduced to 5 from 18 per cent. There was no clarity on this. After this, there will be clarity,"" a report by PTI quoted Uttarakhand Finance Minister Prem Chand Agarwal as saying. Metal scrap:A Reverse Charge Mechanism (RCM) will be introduced on supply of metal scrap by unregistered person to registered person provided that the supplier shall take registration as and when it crosses threshold limit. The recipient, who is liable to pay under RCM, shall pay tax even if the supplier is under threshold. A TDS of 2% will be applicable on supply of metal scrap by a registered person in B-to-B supply. Car and motorcycle seats:Car seats are classifiable under 9401 and attract a GST rate of 18 per cent at present. The rate on car seats classifiable under 9401 will be increased from 18 to 28 per cent. The uniform rate of 28% will be applicable prospectively for car seats of motor cars to bring parity with seats of motorcycles which already attract a GST rate of 28 percent. Research funds:The Council exempted research funding for higher educational institutions and research centres from GST. This is applicable for universities and research centres that have been established by the law of the state or central government. The decision was taken after the Directorate General of GST Intelligence recently sent show cause notices to seven prominent academic institutions for unpaid taxes on research grants given since 2017. The Council also announced several other decisions, including exempting the import of services by foreign airline companies from related entities abroad, provided the transaction is without consideration. On the cards The decision on the much-anticipated potential reduction in GST on health insurance premium has been deferred. Sitharaman said that there were detailed discussions on the matter. A Group of Ministers (GoM) headed by Biharâ€™s Deputy Chief Minister Samrat Choudhary will examine the issue and give its recommendation by the end of October. The GoM on rate rationalisation, which is also headed by Choudhary, will meet on September 23 to finalise the suggestions. The Council has also tasked another GoM to determine the treatment of collections from the compensation cess after its expiry. (With inputs from PIB, agencies) ",2024-09-10 14:02,2024-09-10,14:02
3,moneycontrol.com,https://www.moneycontrol.com/news/business/earnings/analyst-call-tracker-tata-motors-bajaj-auto-eicher-motors-see-upgrades-but-theres-caution-on-the-street-12818572.html,"Analyst Call Tracker: Tata Motors, Bajaj Auto, Eicher Motors see upgrades, but there‚Äôs caution on the Street","For the record, the three stocks gained 64 percent, 40 percent and 130 percent respectively, while the Nifty Auto gained 68 percent. And all of them handsomely outpaced Nifty 50's 26 percent in last one year.Related stories.","Tata Motors, Bajaj Auto, and Eicher Motors received the most analyst upgrades in August from a quarter ago, despite recent market volatility, according to Moneycontrol's Analysts' Call Tracker. But the upgrades do not necessarily reflect an overwhelmingly positive mood around auto stocks for two reasons. One, over the past month, the number of upgrades were fewer ‚ÄìTata Motorssaw¬Ý3¬Ýadditional buy call whileBajaj AutoandEicher Motorssaw¬Ý1 each addional buy calls. Secondly, the optimism around Tata Motors and Eichers followed a series of downgrades earlier during the year. Tata Motors now has 23 buys, 7 holds, and 5 sells, up from 20 buys, 8 holds, and 5 sells last quarter. Bajaj Auto shows 22 buys, 10 holds, and 13 sells, compared to 21 buys, 11 holds, and 13 sells previously. Eicher Motors has 17 buys, 12 holds, and 13 sells, up from 16 buys, 11 holds, and 14 sells last quarter.¬ÝA year ago, Tata Motors had 27 buy ratings, 3 hold ratings, and 4 sell ratings, while Eicher Motors had 24 buy ratings, 13 holds, and 6 sells. Overall, after the strong price performance over the past year, analysts are turning somewhat cautious on auto stocks. For the record, the three stocks gained 64 percent, 40 percent and 130 percent, respectively, while the Nifty Auto gained 68 percent. And all of them handsomely outpaced Nifty 50's 26 percent during the period. In FY25, analysts believe such high returns are unlikely to continue. Reasons are clear: vehicle sales, particularly in passenger vehicles (PV) and two-wheelers (2W), are already showing a slowing trend, with declining month-over-month sales since April and decelerating year-on-year growth rates. Factors like high-interest rates, reduced pent-up demand, inflation, and rising vehicle prices are affecting sales. As a result, dealer inventories are rising, discounts are increasing, and a slowdown in wholesale dispatches may follow in the coming quarters, analysts say. Besides, input costs, including steel, rubber, crude, and fuel prices, are also rising, pressuring profitability. Consequently, investors should expect flat or slightly declining operating margins in Q2 FY2025. If these trends persist, earnings growth for auto companies could stall. Some analysts expect a recovery in retail sales in the second half of FY2025, but until then, auto stocks may face a rough patch. Here are some analysts expects on these three automakers: Tata Motors: Analysts expect a soft outlook for JLR over the next two quarters. Despite a favorable product mix, JLR's ASP growth was limited to 0.6% YoY, and variable marketing expenses increased to 3.2% due to weak demand in Europe and concerns in China. Production constraints are expected in Q2/Q3FY25 due to a summer shutdown and supply disruptions. According to InCred Equities, While medium and heavy commercial vehicle (MHCV) growth boosted EBITDA by 100 bps in Q1FY25, car demand weakness and delayed EV incentives have led to a 12% cut in the car division‚Äôs EBITDA forecast for FY25F. Despite recent stock gains, high valuations amid business challenges and guidance cuts from global peers lead to a cautious outlook, retaining a ""reduce"" rating, the brokerage house said. Bajaj Auto: Analysts believe Bajaj has a strong position in the Pulsar portfolio and three-wheelers, with positive prospects for its two-wheeler CNG product, although Platina volumes may be affected. The new CNG motorcycle has received a good market response, and the company is expanding its market share in the electric 2W segment. Analysts said more focus is needed in the commuter and premium motorcycle segments (350cc+). Some analysts suggest most near-term positives are already priced into the stock, and the valuation seems high given slower-than-expected export recovery and rising commodity costs. Key domestic volume drivers include continued growth in ICE two-wheelers, two-wheeler CNG, new Pulsar and premium launches, and expansion in electric three-wheelers and two-wheelers. While exports are gradually improving, margins are expected to stay at 20.2% in FY25, rising to 20.7% in FY26. According to InCred Equities, key downside risk is export weakness from geopolitical tensions, while the upside risk is market share gain with the help of captive financing arm and CNG bike. Eicher Motors: Eicher Motors' Royal Enfield (RE) retail volume growth has been muted at 1% in FY25 YTD, compared to 14% growth for the 2W industry, leading to a 50 bps market share loss. Despite new launches, RE's wholesale volume declined by 3%, while the industry's motorcycle wholesale grew by 14%. Elara Securities reduced EPS estimates by 3-4% for FY24-27E due to flat domestic volume growth expected for RE in FY25E. Though margins have been strong, EPS growth is expected to be muted at ~8% YoY during Q2-Q4 FY25E. ‚ÄúWe remain negative due to high prices limiting demand, new model launches cannibalizing sales, the RE-to-RE replacement not materializing, and rising competition. New launches are seen as necessary to maintain, not grow, RE's market share,‚Äù the brokerage said. ",2024-09-10 14:20,2024-09-10,14:20
4,moneycontrol.com,https://www.moneycontrol.com/news/india/if-sikhs-faced-existential-threat-it-was-during-hardeep-singh-puri-counters-rahuls-remarks-12818620.html,ŌĆśIf Sikhs faced existential threat it was duringŌĆ”ŌĆÖ: Hardeep Singh Puri counters RahulŌĆÖs remarks,Hardeep Singh Puri.,"Reacting strongly to Leader of Opposition Rahul GandhiŌĆÖs remark on the Sikh community, Union minister Hardeep Singh Puri categorically stated that the Sikh community has never felt more safe and honoured than under the current BJP-led dispensation. Calling out Gandhi, Puri challenged him to repeat his comments in India, with a warning of legal action. Rahul Gandhi, who is currently touring the United States, said that fight is about whether a Sikh, is going to be allowed to wear a turban in India and would be able to visit a Gurdwara. ""First of all, you have to understand what the fight is about. Fight is not about politics. It is superficial. What is your name? The fight is about whether...he as a Sikh is going to be allowed to wear his turban in India. Or he as a Sikh is going to be allowed to wear a kada in India. Or a Sikh is going to be able to go to Gurdwara. That's what the fight is about and not just for him, for all religions,"" he said Addressing a presser, Puri said, ŌĆ£Out of the blue he (Rahul) says that the Sikh community in India has a certain anxiety that they cannot wear a turban or┬Ākada. I have been wearing a turban for six decades, and a┬Ākada. This government has gone out of its way to address the issues and concerns of the Sikh communityŌĆ” If thereŌĆÖs been one time in our history where we have felt insecurity and an existential threat, was at the time when┬ĀRahul GandhiŌĆÖs family was in the seat of power.ŌĆØ Lambasting Gandhi for his ŌĆśinsensitiveŌĆÖ comments, the minister added that associating irresponsible comments with Rahul is nothing new, but now with him holding a constitutional post, he should more careful and calibrated in his addresses on foreign soil. Puri added that the BJP government has done everything possible to address the concerns of the Sikh community. Earlier today, BJP leader RP Singh, referencing the 1984 anti-Sikh riots, accused Gandhi of overlooking the CongressŌĆÖ role in the massacre. ""3,000 Sikhs were massacred in Delhi... He doesnŌĆÖt say that this happened when Congress was in power,"" Singh said. He further dared Gandhi to make similar statements in India, threatening to take him to court. ",2024-09-10 14:05,2024-09-10,14:05
5,moneycontrol.com,https://www.moneycontrol.com/technology/sleep-apnea-hearing-aid-and-more-apple-goes-big-on-health-features-in-airpods-apple-watch-article-12818557.html,"Sleep apnea, hearing aid and more: Apple goes big on health features in AirPods, Apple Watch",Apple health features.Related stories.,"ŌĆ£I believe, if you zoom out into the future, and you look back, and you ask the question, ŌĆśWhat was AppleŌĆÖs greatest contribution to mankind?ŌĆÖ it will be about health.ŌĆØ This was Apple CEO Tim Cook in an interview in January 2019. A lot has changed in the last five years except AppleŌĆÖs focus on health features in its devices ŌĆö mainly Apple Watch. Even at the ItŌĆÖs Glowtime event, Cook mentioned that how every day he gets messages from people all over the world about the impact of Apple Watch. Apple has now placed even more emphasis on prioritising health by introducing quite a few new features. Sleep apnea comes to Apple Watch The Apple Watch is already quite a capable health monitoring device with heart rate tracking, ECG, SPo2 and more. Now, by using a new Breathing Disturbances metric, sleep apnea notifications come to Apple Watch. Apple said that the sleep apnea notifications are expected to receive marketing authorisation from the Food and Drug Administration (FDA) and other global health authorities soon, with availability this month in more than 150 countries and regions. Apple Watch's new Breathing Disturbances feature leverages its accelerometer to monitor subtle wrist movements linked to disrupted breathing patterns during sleep. Every month, the smartwatch analyses this data and alerts users if it consistently indicates moderate to severe sleep apnea. Furthermore, users can view their nightly Breathing Disturbances in the Health app, where they are classified as elevated or not elevated, and can be viewed over a one-month, six-month, or one-year period. AirPods Pro get hearing aid capabilities This is a feature that has been works for a long time. Now, Apple AirPods Pro get an over-the-counter Hearing Aid capability for users with mild to moderate hearing loss. Using the personalised hearing profile from the Hearing Test, this new feature transforms AirPods Pro into a clinical-grade hearing aid. After setup, the feature enables personalised dynamic adjustments so users have the sounds around them boosted in real time. This helps them better engage in conversation, and keeps them connected to the people and environment around them. All-new Vitals app The new Vitals app on Apple Watch gives users a way to check in on their daily health status and view key overnight health metrics, like heart rate and respiratory rate, and gain better context when it comes to their health. ",2024-09-10 13:44,2024-09-10,13:44
6,moneycontrol.com,https://www.moneycontrol.com/technology/minecraft-to-get-more-frequent-content-drops-get-native-ps5-version-article-12818565.html,"Minecraft to get more frequent content drops, get native PS5 version",Minecraft.Related stories.,"Minecraft will now get new content drops more regularly. Instead of releasing one update in the summer, Minecraft devs plan to bring â€śa number of free game drops throughout the yearâ€ť, they announced in an official news article. The more frequent, free game drops â€świll vary in size and will bring you features to explore more frequentlyâ€ť, they added.Minecraft to get native PS5 versionMinecraft developers will also be â€śfocusing on long-term initiativesâ€ť and â€śare working on bringing a native version of Minecraft to the PS5â€ť, as per the news article.An improved Minecraft multiplayer experienceOver 2025, the Minecraft development team will explore ways â€śto improve Minecraftâ€™s multiplayer experience and make it easier to find and connect with friendsâ€ť.Minecraft Live to get a new formatIn the latest news article, The Minecraft devs also add that theyâ€™re â€śchanging the format for Minecraft Live, and retiring the mob voteâ€ť. â€śInstead of doing one show per year (usually in October) - Minecraft Live will now become a more focussed broadcast, and it will happen twice per yearâ€ť, they announced in the news article. Each Minecraft Live show will have everything players need to know about the latest features the Minecraft devs are working on, the features theyâ€™re testing, and the latest news from across the Minecraft franchise. A Minecraft Movie to release in April 2025 The first Minecraft live-action movie, titled 'A Minecraft Movie', recently got its first teaser trailer. The Minecraft film stars Aquaman and Game of Thrones actor Jason Momoa as Garrett â€śThe Garbage Manâ€ť Garrison, Emma Myers as Natalie, Academy Award nominee Danielle Brooks as Dawn, Sebastian Eugene Hansen as Henry and Jack Black as Steve. A Minecraft Movie is directed by Academy Award nominee Jared Hess. It's coming to theatres outside the US on April 2, 2025, and in the US on April 4. It will also launch on IMAX. ",2024-09-10 13:38,2024-09-10,13:38
7,moneycontrol.com,https://www.moneycontrol.com/technology/google-loses-final-eu-court-appeal-against-2-4-billion-euro-fine-in-antitrust-shopping-case-article-12818645.html,Google loses final EU court appeal against 2.4 billion euro fine in antitrust shopping case,Google is facing particular pressure over its digital advertising business..,"Google lost its final legal challenge on Tuesday against a European Union penalty for giving its own shopping recommendations an illegal advantage over rivals in search results, ending a long-running antitrust case that came with a whopping fine. The European Unionâ€™s Court of Justice upheld a lower courtâ€™s decision, dismissing the companyâ€™s appeal against the 2.4 billion euro ($2.7 billion) penalty from the European Commission, the 27-nation blocâ€™s top antitrust enforcer. The commission's original decision in 2017 accused the Silicon Valley giant of unfairly directing visitors to its own Google Shopping service to the detriment of competitors. It was one of three multibillion-euro fines that the commission imposed on Google in the previous decade as Brussels started ramping up its crackdown on the tech industry. Google made changes to comply with the commissionâ€™s decision requiring it to treat competitors equally. The company started holding auctions for shopping search listings that it would bid for alongside other comparison shopping services. At the same time, the company appealed the decision to the courts. But the EU General Court, the tribunal's lower section, rejected its challenge in 2021 and the Court of Justiceâ€™s adviser later recommended rejecting the appeal. Google is also appealing the other two EU antitrust penalties involving its Android mobile operating system and AdSense advertising platform. The company was dealt a setback in the Android case when the EU General Court upheld the commission's 4.125 billion euro fine in a 2022 decision. Its initial appeal against a 1.49 billion euro fine in the AdSense case has yet to be decided. Those three cases foreshadowed expanded efforts by regulators worldwide to crack down on the tech industry. The EU has since opened more investigations into Big Tech companies and drafted new laws to clean up social media platforms and regulate artificial intelligence. Google is facing particular pressure over its digital advertising business. In a federal antitrust trial set to begin Monday, the U.S. Department of Justice alleges the company holds a monopoly in the â€śad techâ€ť industry. British competition regulators accused Google last week of abusing its dominance in â€śad techâ€ť while the EU is carrying out its own investigation. ",2024-09-10 14:24,2024-09-10,14:24
8,moneycontrol.com,https://www.moneycontrol.com/technology/gta-6-may-get-delayed-heres-when-it-could-launch-article-12818458.html,GTA 6 may get delayed: Hereâ€™s when it could launch,GTA 6.,"It looks like it could take longer than a yearâ€™s wait before players get their hands on Rockstar Gamesâ€™ highly awaited GTA 6. Though officially announced for a Fall 2025 release, the GTA 6 launch could get pushed to mid-2026, as per the claims of X-verified user Liam @billsyliamgta. Liam posts mostly on GTA and other Rockstar Games titles. As per Liam, the information was sourced from â€śmultiple devs across two studiosâ€ť. Liam also claims that the GTA VI PC version will be launched 12 to 18 months later than the GTA VI console version. That pushes the claimed GTA VI PC version release to the second half of 2027 or early 2028. But Jason Shrier of Bloomberg thinks otherwise. In a tweet on X, he said: â€śI want to be very clear: Six staff told me they weren't *informed* of a delay. For all I know, Rockstar's executive team could have decided months ago to delay GTA VI without telling the company. But the lack of internal announcement suggests that the Twitter rumor was nonsense.â€ť Take-Two Interactive or Rockstar Games have also not confirmed the claims regarding the GTA 6 launch delay. Without any solid proof to back the claims, it would be best to take the â€śexclusiveâ€ť claims of @billsyliamgta with a pinch of salt. Earlier, in an interview with GamesIndustry.biz, Take-Two Interactiveâ€™s CEO Strauss Zelnick said that the company is not interested in making GTA 6 and its upcoming major AAA games come to the Xbox Game Pass on day one. Zelnick said that he was aware that offering premium games with a subscription service is good for player reach and sustained interest, but Take-Two still wonâ€™t bring its upcoming big AAA titles like GTA 6 to Xbox Game Pass. ",2024-09-10 13:26,2024-09-10,13:26
9,moneycontrol.com,https://www.moneycontrol.com/technology/chip-scheme-to-get-extension-meity-awaits-fab-proposal-from-tower-adani-jv-mission-chief-article-12818537.html,"Chip scheme to get extension, MeitY awaits fab proposal from Tower-Adani JV: Mission chief",semiconductor.,"Akash Tripathi, the chief executive of the India Semiconductor Mission (ISM), said the government plans to extend the scheme for setting up semiconductor chip fabrication, packaging, and other ecosystem developer companies in itsÂ second phase. He said that the government is also focussed on attracting companies such as raw material suppliers, gas suppliers, and other vendors of the semiconductor ecosystem, to India and working to acquire chip fabrication and packaging units. ""We hope that we will also get more investment in this sector. Only fabs will not suffice (or) only OSATs will not suffice. So, we have this inkling that we need to support all the ecosystem components,â€ť he said. Tripathi, who heads the Rs 75,000-crore mission, said there are around 20 additional proposals from semiconductor chip fabrication units, display fabrication companies, raw material suppliers, and chip packaging companies. He said the ISM was considering Tower Semiconductor's proposal to set up a chip fabrication unit and that the government has sought more details from the company. However, a formal proposal by the Tower Semiconductor-Adani Group joint venture has yet to be presented before the ISM. â€śThe ministry (MeitY) has sought details from entities involved in the project. Tower has submitted a proposal but it has to provide detailsâ€¦ and when it provides those details we will examine that. Right now, it is at the appraisal stage and we have sought more information from it,â€ť Tripathi told reported on September 9. Last week, the Maharashtra Cabinet approved a semiconductor fab unit to be set up jointly by the Adani Group and Tower Semiconductor in Panvel, near Mumbai. The unit would entail an investment of about Rs 83,947 crore ($10 billion). He said the government plans to support the industry directly for 10 years, adding that while formulating the ISM, the government had seen double-digit overall fab units in the country. â€śUnder the ISM, we have almost 20 more proposals which include compound semiconductors and Outsourced Semiconductor Assembly and Test (OSAT) units among others. Now, we need to look at developing the entire semiconductor ecosystem as only having fabs or OSATs wonâ€™t suffice. Thereâ€™s a need to bring up the entire ecosystem,â€ť he said. â€śUnder the semicon India programme, we had envisioned 2-3 semicon fabs, 2-3 display fabs and also various compound semiconductor fabs. So, I think total numbers will be somewhere around in double digits,â€ť he added. Talking about the revamping plans of the government's Semiconductor Laboratory (SCL) in Mohali, Tripathi said that big private players have been keen on the project, and a request for proposal (RFP) on it will be floated very soon. India will host the first global semiconductor industry event, Semicon India 2024, from September 11 to 13. ICEA chairman Pankaj Mohindroo said that the mobile phone industry in India will consume the storage chips that will be made in India. ",2024-09-10 13:23,2024-09-10,13:23
